Authors,Title,Year,Inclusion,Final_refugia_type,Scale,Location_Country,Province,EEZ,Global_outside_or_both_EEZ,Depth,Time,Species,Type_data,Stressor
Dixon A.M.; Forster P.M.; Heron S.F.; Stoner A.M.K.; Beger M.,Future loss of local-scale thermal refugia in coral reef ecosystems,2022,Marine climate refugia (include),Low-exposure climate refugia,Global,Multiple,"Gulf of Guinea, Red Sea & Gulf of Aden, Somali/Arabian, Western Indian Ocean, West & South Indian Shelf, Central Indian Ocean Islands, South China Sea, Sunda Shelf, Java Transitional, South Kuroshio, Western Coral Triangle, Northwest Australian Shelf, Sahul Shelf, Northeast Australian Shelf, Eastern Coral Triangle, Tropical Southwestern Pacific, Tropical Northwestern Pacific, ""Marshall, Gilbert & Ellis Islands"", Hawaii, Central Polynesia, Southeast Polynesia, Marquesas, Easter Island, Warm Temperate Northeast Pacific, Tropical East Pacific, Galapagos, Tropical Northwestern Atlantic, Tropical Southwestern Atlantic, Warm Temperate Southwestern Atlantic, West African Transition",Both,no,Shallow (0-50m),Combination,Corals,Combination,Acute warming
McClanahan T.R.; Darling E.S.; Beger M.; Fox H.E.; Grantham H.S.; Jupiter S.D.; Logan C.A.; Mcleod E.; McManus L.C.; Oddenyo R.M.; Surya G.S.; Wenger A.S.; Zinke J.; Maina J.M.,Diversification of refugia types needed to secure the future of coral reefs subject to climate change,2024,Marine climate refugia (include),Combination,Global,Multiple,"Warm Temperate Northwest Pacific, Warm Temperate Northeast Pacific, Tropical Northwestern Atlantic, Tropical Southwestern Atlantic, St. Helena & Ascension Islands, West African Transition, Gulf of Guinea, Red Sea & Gulf of Aden, Somali/Arabian, Western Indian Ocean, Hawaii, Lord Howe & Norfolk Islands, Tropical Southwestern Pacific, Northwest Australian Shelf, Northeast Australian Shelf, Sahul Shelf, Eastern Coral Triangle, West & South Indian Shelf, Central Indian Ocean Islands, Bay of Bengal, Andaman, South China Sea, Sunda Shelf, Java Transitional, South Kuroshio, Tropical Northwestern Pacific, Western Coral Triangle, Central Polynesia, Galapagos, Southeast Polynesia, Marquesas, Easter Island, Tropical East Pacific, East Central Australian Shelf, Southeast Australian Shelf, Southwest Australian Shelf, West Central Australian Shelf",Both,no,Not specified,Combination,Corals,Combination,Several pressures
Lachs L.; Humanes A.; Mumby P.J.; Donner S.D.; Bythell J.; Beauchamp E.; Bukurou L.; Buzzoni D.; la Torre Cerro R.D.; East H.K.; Edwards A.J.; Golbuu Y.; Martinez H.M.; der Steeg E.V.; Ward A.; Guest J.R.,High coral heat tolerance at local-scale thermal refugia,2024,Marine climate refugia (include),Combination,Local,Republic of Palau,Western Coral Triangle,Inside EEZ,no,Shallow (0-50m),Present,Corals,Combination,Several pressures
Mo S.; Chen T.; Chen Z.; Zhang W.; Li S.,Marine heatwaves impair the thermal refugia potential of marginal reefs in the northern South China Sea,2022,Marine climate refugia (include),Resilience-based climate refugia,Local,China,South China Sea,Inside EEZ,no,Shallow (0-50m),Combination,Corals,Satellite-based,Acute warming
Angeles-Gonzalez L.E.; Torrejón-Magallanes J.; Escamilla-Aké A.; Osorio-Olvera L.; Avendaño O.; Díaz F.; Rosas C.,Can upwelling regions be potential thermal refugia for marine fishes during climate warming?,2024,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Mexico,"Cold Temperate Northeast Pacific, Tropical East Pacific, Warm Temperate Northeast Pacific",Inside EEZ,no,Not specified,Combination,Fishes,Combination,Chronic warming
Ran Q.; Duan M.; Wang P.; Ye Z.; Mou J.; Wang X.; Tian Y.; Zhang C.; Qiao H.; Zhang J.,Predicting the current habitat suitability and future habitat changes of Antarctic jonasfish Notolepis coatsorum in the Southern Ocean,2022,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,No countries in Antarctica,"Scotia Sea, Continental High Antarctic, Subantarctic New Zealand, Subantarctic Islands",Not aplicable,no,"Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m)",Combination,Fishes,Combination,Several pressures
Peters K.J.; Stockin K.A.; Saltré F.,On the rise: Climate change in New Zealand will cause sperm and blue whales to seek higher latitudes,2022,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,New Zealand,"Subantarctic New Zealand, Northern New Zealand, Southern New Zealand",Both,no,"All water column, Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m)",Future,Marine mammals,Combination,Several pressures
Wang S.; Murillo F.J.; Kenchington E.,Climate-Change Refugia for the Bubblegum Coral Paragorgia arborea in the Northwest Atlantic,2022,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Canada,Cold Temperate Northwest Atlantic,Inside EEZ,no,"All water column, Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Seafloor, Bathyabyssopelagic
(>1,000 m)",Future,Corals,Combination,Several pressures
Torrejón-Magallanes J.; Ángeles-González L.E.; Csirke J.; Bouchon M.; Morales-Bojórquez E.; Arreguín-Sánchez F.,Modeling the Pacific chub mackerel (Scomber japonicus) ecological niche and future scenarios in the northern Peruvian Current System,2021,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Peru,Warm Temperate Southeastern Pacific,Both,no,Not specified,Future,Fishes,Combination,Several pressures
McWhorter J.K.; Halloran P.R.; Roff G.; Mumby P.J.,Climate change impacts on mesophotic regions of the Great Barrier Reef,2024,Marine climate refugia (include),Low-exposure climate refugia,Local,Australia,Northeast Australian Shelf,Inside EEZ,no,Shallow (0-50m),Future,Corals,Modelled-based,Several pressures
